CHROM,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU004935-RA,8.182894593,0.913612308,0.266045388,3.434046778,0.000594642,0.036110089
OTAU009554-RA,856.607722,-0.544705117,0.158708767,-3.432104787,0.000598916,0.0362236
OTAU009601-RA,6628.188279,-0.928337671,0.27059513,-3.430725712,0.000601969,0.036262609
OTAU017428-RA,109.254048,-0.886879754,0.258608285,-3.429432879,0.000604844,0.036290641
OTAU011510-RA,4.977537695,-0.830940282,0.242426564,-3.42759584,0.000608951,0.03639209
OTAU010770-RA,457.621402,-0.573764269,0.167620198,-3.423001986,0.000619336,0.036866419
OTAU000699-RA,37.62671334,0.421451248,0.123181483,3.421384755,0.000623031,0.036940356
OTAU001889-RA,59.65894558,0.545310003,0.159627946,3.416131188,0.000635176,0.03751277
OTAU012116-RA,106.6754464,-0.278908957,0.081803052,-3.409517739,0.000650778,0.038284076
OTAU000534-RA,48.81133399,-0.267747304,0.078682399,-3.402886904,0.000666779,0.038346876
OTAU002093-RA,1661.129136,0.888937861,0.261401017,3.400667185,0.000672216,0.038346876
OTAU007835-RA,12454.79295,-0.898083939,0.263963985,-3.40229724,0.000668219,0.038346876
OTAU008703-RA,2.341082596,-0.861422445,0.252951264,-3.405487808,0.00066046,0.038346876
OTAU012231-RA,28.95247813,-0.455945488,0.133925763,-3.404464377,0.000662939,0.038346876
OTAU015204-RA,23.42914729,-0.712220927,0.209407356,-3.401126588,0.000671087,0.038346876
OTAU016461-RA,93.59703202,0.863758682,0.253845559,3.40269369,0.00066725,0.038346876
OTAU017440-RA,63.26645323,0.657052295,0.193046699,3.403592486,0.000665059,0.038346876
OTAU014326-RA,22.71721621,-0.805017645,0.236899235,-3.398143701,0.000678448,0.038556312
OTAU002011-RA,6.887328631,-0.82531307,0.243065719,-3.395431791,0.000685204,0.038793906
OTAU000213-RA,1388.037532,-0.907076581,0.267639278,-3.389175859,0.00070103,0.039247276
OTAU012701-RA,233.9714488,-0.236804246,0.069868056,-3.389306376,0.000700697,0.039247276
OTAU013433-RA,127.3281405,0.322795441,0.095232985,3.389534016,0.000700115,0.039247276
OTAU000702-RA,155.807082,0.773866614,0.228595293,3.385312989,0.000710971,0.039503675
OTAU001296-RA,93.55261619,-0.42211545,0.124725842,-3.384346355,0.000713479,0.039503675
OTAU008831-RA,526.9932931,0.239109931,0.070620797,3.385828846,0.000709636,0.039503675
