CHROM,pvalue
OTAU009480-RA,0.001340737
OTAU016189-RA,0.001360326
OTAU013834-RA,0.001370307
OTAU003302-RA,0.001374746
OTAU006504-RA,0.00138889
OTAU011632-RA,0.001388885
OTAU012535-RA,0.00139076
OTAU003784-RA,0.001398367
OTAU001788-RA,0.001402398
OTAU012037-RA,0.001462715
OTAU006817-RA,0.001473452
OTAU001769-RA,0.001483554
OTAU014369-RA,0.001487067
OTAU012891-RA,0.001520463
OTAU005058-RA,0.001534074
OTAU002530-RA,0.001538772
OTAU000971-RA,0.001544488
OTAU002576-RA,0.001560785
OTAU006391-RA,0.001553847
OTAU014934-RA,0.00155689
OTAU015414-RA,0.001557635
OTAU009178-RA,0.001570299
OTAU013263-RA,0.001575429
OTAU000773-RA,0.00161298
OTAU005947-RA,0.001612545
OTAU011060-RA,0.001613933
OTAU012930-RA,0.001615227
OTAU013670-RA,0.001595945
OTAU013822-RA,0.001603472
OTAU006018-RA,0.001622338
OTAU008051-RA,0.001636904
OTAU007963-RA,0.001653734
OTAU013586-RA,0.001663307
OTAU003646-RA,0.001681704
OTAU007426-RA,0.001685381
OTAU007703-RA,0.001689071
OTAU005399-RA,0.001712792
OTAU008409-RA,0.001705534
OTAU017246-RA,0.001713928
OTAU000697-RA,0.001724207
OTAU012087-RA,0.001720697
OTAU007519-RA,0.001750367
OTAU007849-RA,0.0017478
OTAU001927-RA,0.001757961
OTAU012312-RA,0.001760244
OTAU010237-RA,0.001773505
OTAU004060-RA,0.001812569
OTAU011322-RA,0.001814677
OTAU013753-RA,0.001822427
OTAU015377-RA,0.001822217
OTAU001035-RA,0.001856877
OTAU010354-RA,0.001856997
OTAU012900-RA,0.001871659
OTAU015871-RA,0.001875104
OTAU015740-RA,0.00188075
OTAU003031-RA,0.001904786
OTAU003768-RA,0.001905338
OTAU004418-RA,0.001904901
OTAU010295-RA,0.001908624
OTAU014897-RA,0.001906555
OTAU014958-RA,0.001905676
OTAU005582-RA,0.001939516
OTAU012641-RA,0.001936896
OTAU002315-RA,0.001956411
OTAU005719-RA,0.001948132
OTAU006637-RA,0.00195523
OTAU004774-RA,0.001962685
OTAU016006-RA,0.001993566
OTAU002689-RA,0.001999135
OTAU014638-RA,0.0020069
OTAU013328-RA,0.002015349
OTAU017198-RA,0.002029761
OTAU003101-RA,0.002062298
OTAU004752-RA,0.002057944
OTAU009675-RA,0.002068652
OTAU014049-RA,0.002041388
OTAU015845-RA,0.00205911
